Video,mID,Sex,Lux,Treatment,Virus,Corrected light onset time (s)
C0075,6230,m,1,CNO,q,11.124
C0076,6231,m,1,CNO,q,12.034
C0077,6232,m,1,CNO,q,12.672
C0078,6233,m,1,CNO,q,10.162
C0079,229,f,1,CNO,q,9.226
C0080,228,f,1,CNO,i,8.116
C0081,untag,m,1,CNO,i,9.76
C0082,639,m,1,CNO,i,8.003
C0083,681,m,1,CNO,i,7.614
MAH00085,765,f,1,CNO,i,9.192
MAH00086,776,f,1,CNO,i,10.081
MAH00087,777,f,1,CNO,i,10.94
MAH00088,785,m,1,CNO,i,7.912
MAH00089,784,m,1,CNO,i,9.686
MAH00090,791,f,1,CNO,q,9.276
MAH00091,767,m,1,CNO,q,9.677
MAH00092,768,m,1,CNO,q,7.103
MAH00093,771,m,1,CNO,q,8.586
MAH00094,770,m,1,CNO,q,7.16
MAH00095,789,f,1,CNO,i,16.846
C0056,6230,m,1,Saline,q,8.376
C0057,6231,m,1,Saline,q,11.197
C0058,6232,m,1,Saline,q,11.368
C0059,6233,m,1,Saline,q,5.951
C0060,229,f,1,Saline,q,8.763
C0061,228,f,1,Saline,i,9.826
C0062,untag,m,1,Saline,i,12.816
C0063,639,m,1,Saline,i,14
C0064,681,m,1,Saline,i,10.085
MAH00062,765,f,1,Saline,i,9.277
MAH00063,776,f,1,Saline,i,6.174
MAH00064,777,f,1,Saline,i,5.856
MAH00065,784,m,1,Saline,i,6.553
MAH00066,785,m,1,Saline,i,6.349
MAH00067,791,f,1,Saline,q,8.173
MAH00068,789,f,1,Saline,q,6.771
MAH00069,767,m,1,Saline,q,10.191
MAH00070,770,m,1,Saline,q,7.055
MAH00071,771,m,1,Saline,q,10.691
MAH00072,768,m,1,Saline,q,10.157
C0037,6230,m,10,CNO,q,12.293
C0038,6231,m,10,CNO,q,12.66
C0039,6232,m,10,CNO,q,11.761
C0040,6233,m,10,CNO,q,9.488
C0041,229,f,10,CNO,q,14
C0042,228,f,10,CNO,i,12.976
C0043,untag,m,10,CNO,i,13.328
C0044,639,m,10,CNO,i,18.969
C0045,681,m,10,CNO,i,9.973
MAH00038,765,f,10,CNO,i,9.024
MAH00039,777,f,10,CNO,i,8.626
MAH00040,776,f,10,CNO,i,19.931
MAH00041,784,m,10,CNO,i,12.162
MAH00042,785,m,10,CNO,i,10.344
MAH00043,789,f,10,CNO,q,11.197
MAH00044,791,f,10,CNO,q,17.171
MAH00045,767,m,10,CNO,q,13.514
MAH00046,768,m,10,CNO,q,7.453
MAH00047,770,m,10,CNO,q,11.9
C0014,6231,m,10,Saline,q,23.03
C0015,6232,m,10,Saline,q,15.996
C0016,6233,m,10,Saline,q,15.569
C0017,6230,m,10,Saline,q,14.044
C0018,229,f,10,Saline,q,30.987
C0019,228,f,10,Saline,i,13.842
C0021,681,m,10,Saline,i,7.273
C0023,639,m,10,Saline,i,8.074
C0024,untag,m,10,Saline,i,16.757
MAH00015,765,f,10,Saline,i,9.284
MAH00016,776,f,10,Saline,i,10.387
MAH00017,777,f,10,Saline,i,10.277
MAH00018,785,m,10,Saline,i,7.646
MAH00019,784,m,10,Saline,i,13.814
MAH00020,791,f,10,Saline,q,10.407
MAH00021,789,f,10,Saline,q,7.32
MAH00022,768,m,10,Saline,q,10.164
MAH00023,767,m,10,Saline,q,11.435
MAH00024,770,m,10,Saline,q,10.072
MAH00025,771,m,10,Saline,q,13.254
C0084,6230,m,100,CNO,q,10.208
C0085,6231,m,100,CNO,q,11.014
C0086,6232,m,100,CNO,q,9.273
C0087,6233,m,100,CNO,q,11.853
C0088,229,f,100,CNO,q,10.04
C0089,228,f,100,CNO,i,10.773
C0090,untag,m,100,CNO,i,9.753
C0091,639,m,100,CNO,i,10.491
C0092,681,m,100,CNO,i,7.686
MAH00096,765,f,100,CNO,i,9.485
MAH00097,776,f,100,CNO,i,5.976
MAH00098,777,f,100,CNO,i,11.343
MAH00099,784,m,100,CNO,i,7.79
MAH00100,785,m,100,CNO,i,9.566
MAH00102,791,f,100,CNO,q,7.86
MAH00103,789,f,100,CNO,q,12.141
MAH00104,767,m,100,CNO,q,7.094
MAH00105,770,m,100,CNO,q,8.569
MAH00106,771,m,100,CNO,q,8.127
MAH00107,768,m,100,CNO,q,10.045
MAH00108,765,f,100,CNO,i,7.883
C0065,6230,m,100,Saline,q,9.226
C0066,6231,m,100,Saline,q,7.625
C0067,6232,m,100,Saline,q,8.043
C0068,6233,m,100,Saline,q,7.967
C0069,229,f,100,Saline,q,14.103
C0070,228,f,100,Saline,i,11.201
C0071,untag,m,100,Saline,i,17.345
C0072,639,m,100,Saline,i,7.978
C0073,681,m,100,Saline,i,7.524
MAH00073,765,f,100,Saline,i,9.04
MAH00074,776,f,100,Saline,i,14.761
MAH00075,777,f,100,Saline,i,17.475
MAH00076,785,m,100,Saline,i,7.517
MAH00077,784,m,100,Saline,i,7.353
MAH00078,791,f,100,Saline,q,11.639
MAH00079,789,f,100,Saline,q,10.344
MAH00080,770,m,100,Saline,q,8.975
MAH00081,768,m,100,Saline,q,9.362
MAH00082,767,m,100,Saline,q,11.952
MAH00083,771,m,100,Saline,q,11.087
C0046,6230,m,1000,CNO,q,9.211
C0047,6231,m,1000,CNO,q,7.414
C0048,6232,m,1000,CNO,q,9.452
C0049,6233,m,1000,CNO,q,9.131
C0050,229,f,1000,CNO,q,10.007
C0051,228,f,1000,CNO,i,14.453
C0052,untag,m,1000,CNO,i,10.072
C0053,639,m,1000,CNO,i,10.705
C0054,681,m,1000,CNO,i,11.817
MAH00049,765,f,1000,CNO,i,9.974
MAH00050,776,f,1000,CNO,i,7.746
MAH00051,777,f,1000,CNO,i,7.502
MAH00052,785,m,1000,CNO,i,6.817
MAH00053,784,m,1000,CNO,i,9.417
MAH00055,791,f,1000,CNO,q,6.282
MAH00056,789,f,1000,CNO,q,7.404
MAH00057,767,m,1000,CNO,q,14.243
MAH00058,771,m,1000,CNO,q,10.089
MAH00059,767,m,1000,CNO,q,15.254
MAH00060,768,m,1000,CNO,q,9.538
C0025,6230,m,1000,Saline,q,12.476
C0026,6231,m,1000,Saline,q,12.292
C0027,6232,m,1000,Saline,q,7.401
C0028,6233,m,1000,Saline,q,12.28
C0029,229,f,1000,Saline,q,12.078
C0030,228,f,1000,Saline,i,9.271
C0031,untag,m,1000,Saline,i,10.126
C0032,681,m,1000,Saline,i,20.576
C0033,639,m,1000,Saline,i,9.458
MAH00026,765,f,1000,Saline,i,8.82
MAH00027,776,f,1000,Saline,i,7.52
MAH00028,777,f,1000,Saline,i,6.824
MAH00029,784,m,1000,Saline,i,8.425
MAH00030,785,m,1000,Saline,i,8.58
MAH00031,789,f,1000,Saline,q,7.368
MAH00032,791,f,1000,Saline,q,10.526
MAH00033,770,m,1000,Saline,q,9.474
MAH00034,767,m,1000,Saline,q,9.131
MAH00035,771,m,1000,Saline,q,8.525
MAH00036,768,m,1000,Saline,q,12.743
