step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAP_pcutoff,metrics/test.mAR,metrics/test.mAR_pcutoff,metrics/test.rmse,metrics/test.rmse_pcutoff
1,0.00028542030486278236,0.4033566415309906,0.010226627811789513,0.010226627811789513,0.00054925587028265,0.49774616956710815,0.012718282639980316,0.012718282639980316,17.015001500150014,0.0,30.0,0.0,158.58526611328125,nan
2,0.00023154057271312922,0.2797180712223053,0.007108722347766161,0.007108722347766161,0.0004095305339433253,0.3441702425479889,0.008809021674096584,0.008809021674096584,48.838508850885084,0.0,61.818181818181806,0.0,64.84333801269531,4.679852485656738
3,0.00018593626737128943,0.22087909281253815,0.005614945199340582,0.005614945199340582,0.00033360268571414053,0.28235435485839844,0.007225659675896168,0.007225659675896168,73.10193519351935,4.95049504950495,80.0,4.545454545454546,33.36507797241211,4.510256290435791
4,0.00017351559654343873,0.24228022992610931,0.0061437636613845825,0.0061437636613845825,0.00030272090225480497,0.2560665011405945,0.006553023122251034,0.006553023122251034,79.13456345634562,1.9801980198019795,84.54545454545455,1.8181818181818181,36.24381637573242,7.58831787109375
5,0.0001882452197605744,0.22676216065883636,0.005763177294284105,0.005763177294284105,0.0002829374570865184,0.22604437172412872,0.005792578216642141,0.005792578216642141,81.75337533753377,9.504950495049503,86.36363636363636,9.090909090909092,22.02193832397461,6.369687557220459
6,0.00019948245608247817,0.24300971627235413,0.006174984388053417,0.006174984388053417,0.00026776629965752363,0.21556761860847473,0.005523073952645063,0.005523073952645063,77.74797479747974,0.0,83.63636363636363,0.0,36.1729621887207,6.773070812225342
7,0.0001429950207239017,0.19391794502735138,0.004919446539133787,0.004919446539133787,0.00023759121540933847,0.18079873919487,0.004638764541596174,0.004638764541596174,90.75607560756075,4.95049504950495,94.54545454545456,4.545454545454546,15.835470199584961,4.688830375671387
8,0.00015312344476114959,0.2134426236152649,0.005412627477198839,0.005412627477198839,0.00022276108211372048,0.19044341146945953,0.004872465971857309,0.004872465971857309,86.6156615661566,0.0,91.81818181818183,0.0,22.130352020263672,4.69366455078125
9,0.00013547163689509034,0.20369967818260193,0.005160227417945862,0.005160227417945862,0.00021818593086209148,0.18067722022533417,0.00462602311745286,0.00462602311745286,84.6984698469847,22.17821782178218,90.90909090909089,21.818181818181817,23.745363235473633,5.875672340393066
10,0.00013577357458416373,0.1953427791595459,0.0049514565616846085,0.0049514565616846085,0.0002109455526806414,0.1615251749753952,0.0041436017490923405,0.0041436017490923405,91.25112511251125,9.603960396039604,94.54545454545456,9.090909090909092,18.02215576171875,4.208785057067871
11,0.00013389243395067751,0.19324316084384918,0.004898025654256344,0.004898025654256344,0.0001956557243829593,0.15326860547065735,0.003929543308913708,0.003929543308913708,91.11611161116112,14.752475247524751,94.54545454545456,14.545454545454545,15.522377014160156,4.937033176422119
12,0.00011799812637036666,0.1673046499490738,0.004241615999490023,0.004241615999490023,0.0001966394338523969,0.15504305064678192,0.0039743962697684765,0.0039743962697684765,98.68586858685869,11.18811881188119,99.09090909090908,10.909090909090908,8.231993675231934,3.58075213432312
13,0.00011709251702995971,0.1708822101354599,0.004330601543188095,0.004330601543188095,0.0001734164688969031,0.15278449654579163,0.003906320780515671,0.003906320780515671,98.1908190819082,18.455445544554454,99.09090909090908,18.181818181818183,7.816967487335205,4.72987699508667
14,0.0001099762084777467,0.15704108774662018,0.003981015644967556,0.003981015644967556,0.00016896106535568833,0.14089146256446838,0.0036067671608179808,0.0036067671608179808,91.98019801980199,36.633663366336634,95.45454545454545,36.36363636363636,14.482388496398926,5.1469807624816895
15,0.00010795693378895521,0.17644552886486053,0.004465116653591394,0.004465116653591394,0.00015942167374305427,0.1480853259563446,0.0037818439304828644,0.0037818439304828644,95.8991899189919,22.970297029702973,97.27272727272727,22.727272727272723,8.607280731201172,4.5408711433410645
16,0.00011088213068433106,0.16704370081424713,0.004231533035635948,0.004231533035635948,0.00016303826123476028,0.13594314455986023,0.003480097744613886,0.003480097744613886,100.0,22.07920792079208,100.0,21.818181818181817,8.10021686553955,5.698209762573242
17,0.00010372150427429006,0.1700083613395691,0.004302070010453463,0.004302070010453463,0.0001568658190080896,0.13664111495018005,0.003494460601359606,0.003494460601359606,98.76687668766876,26.831683168316832,99.09090909090908,26.36363636363636,7.36833381652832,5.088226795196533
18,0.0001015414236462675,0.1755329817533493,0.004439095035195351,0.004439095035195351,0.00014747018576599658,0.1287039965391159,0.003291335189715028,0.003291335189715028,98.68586858685869,36.41089108910891,99.09090909090908,36.36363636363636,7.565793037414551,5.133071422576904
19,9.75507718976587e-05,0.16424371302127838,0.004154867958277464,0.004154867958277464,0.0001533613249193877,0.1272803544998169,0.003258689772337675,0.003258689772337675,96.72367236723673,32.17821782178218,98.18181818181817,31.818181818181813,15.904047012329102,4.952426433563232
20,0.0001087471391656436,0.17094911634922028,0.00432810140773654,0.00432810140773654,0.00014344406372401863,0.12282928079366684,0.0031424537301063538,0.0031424537301063538,100.0,50.0,100.0,49.999999999999986,7.578623294830322,5.546469688415527
21,9.058520663529634e-05,0.15830254554748535,0.004002856090664864,0.004002856090664864,0.00013501656940206885,0.11937625706195831,0.0030519147403538227,0.0030519147403538227,100.0,42.51485148514851,100.0,42.72727272727273,6.701768398284912,5.040529251098633
22,9.600142220733687e-05,0.16123709082603455,0.004078927915543318,0.004078927915543318,0.0001352829858660698,0.1157049760222435,0.0029602658469229937,0.0029602658469229937,100.0,44.43069306930693,100.0,44.54545454545455,6.887936115264893,5.140526294708252
23,9.701842645881698e-05,0.17590375244617462,0.0044461023062467575,0.0044461023062467575,0.00013005087384954095,0.12258203327655792,0.003129576100036502,0.003129576100036502,100.0,43.76237623762376,100.0,43.636363636363626,7.593002796173096,4.411581993103027
24,9.909830987453461e-05,0.15235505998134613,0.0038584256544709206,0.0038584256544709206,0.00013730674982070923,0.1214464008808136,0.003104813164100051,0.003104813164100051,96.72367236723673,57.001414427157,98.18181818181817,57.272727272727266,14.050042152404785,5.242815017700195
25,0.00010206625302089378,0.15116016566753387,0.0038300370797514915,0.0038300370797514915,0.00013712167856283486,0.11702565848827362,0.002994202310219407,0.002994202310219407,96.72367236723673,55.346534653465355,98.18181818181817,55.454545454545446,13.36974811553955,5.487192153930664
26,8.783163502812386e-05,0.14836792647838593,0.003753113793209195,0.003753113793209195,0.00013187990407459438,0.11402907222509384,0.0029166664462536573,0.0029166664462536573,97.6957695769577,55.1980198019802,98.18181818181817,55.454545454545446,14.631662368774414,5.023687839508057
27,0.000103454825875815,0.1837991178035736,0.004646705463528633,0.004646705463528633,0.00012136949226260185,0.10643063485622406,0.002721450524404645,0.002721450524404645,95.34653465346534,58.656294200848656,97.27272727272727,59.09090909090908,14.648187637329102,6.520827770233154
28,7.51745465095155e-05,0.15278099477291107,0.0038571120239794254,0.0038571120239794254,0.00011382656521163881,0.10976344347000122,0.0028009992092847824,0.0028009992092847824,98.68586858685869,51.78217821782178,99.09090909090908,51.81818181818182,6.432686805725098,5.124410629272461
29,8.195455302484334e-05,0.15772920846939087,0.003984207287430763,0.003984207287430763,0.00012158427125541493,0.10718006640672684,0.00274029397405684,0.00274029397405684,95.08550855085508,47.32673267326732,97.27272727272727,47.272727272727266,15.979433059692383,5.028177738189697
30,8.530481863999739e-05,0.16382592916488647,0.004138300195336342,0.004138300195336342,0.00011956487287534401,0.10549099743366241,0.0026970570906996727,0.0026970570906996727,95.08550855085508,51.78217821782178,97.27272727272727,51.818181818181806,13.776214599609375,5.934861183166504
31,8.366395923076198e-05,0.1654534786939621,0.004178168717771769,0.004178168717771769,0.00010580223897704855,0.09948348999023438,0.002539988374337554,0.002539988374337554,100.0,58.656294200848656,100.0,59.09090909090908,7.394262790679932,6.042872905731201
32,8.184885518858209e-05,0.1792619526386261,0.004522473551332951,0.004522473551332951,0.00011299205652903765,0.10501928627490997,0.002681978512555361,0.002681978512555361,98.44284428442845,62.475247524752476,99.09090909090908,62.72727272727272,7.937009811401367,6.327481269836426
33,8.334416634170339e-05,0.1474565863609314,0.0037280870601534843,0.0037280870601534843,0.00011308908142382279,0.09523773938417435,0.0024374881759285927,0.0024374881759285927,98.44284428442845,69.73597359735973,99.09090909090908,70.9090909090909,6.511045932769775,5.770596504211426
34,7.745484617771581e-05,0.14421924948692322,0.0036442086566239595,0.0036442086566239595,0.00010460055636940524,0.08847521245479584,0.002264180453494191,0.002264180453494191,100.0,56.980198019801975,100.0,57.272727272727266,6.115670680999756,5.329624176025391
35,8.45047106849961e-05,0.16840477287769318,0.0042523713782429695,0.0042523713782429695,0.00010208938329014927,0.08938547223806381,0.002285681664943695,0.002285681664943695,95.15751575157515,52.37623762376238,97.27272727272727,52.72727272727272,19.96980857849121,5.577052593231201
36,8.853497274685651e-05,0.16892622411251068,0.004267423879355192,0.004267423879355192,0.00011201496090507135,0.10363385826349258,0.0026468539144843817,0.0026468539144843817,100.0,67.71039603960396,100.0,68.18181818181819,7.139189720153809,5.6349616050720215
37,8.050161704886705e-05,0.16378062963485718,0.004134767223149538,0.004134767223149538,0.00010223163553746417,0.09796225279569626,0.002500172471627593,0.002500172471627593,95.08550855085508,69.6039603960396,97.27272727272727,70.0,13.725604057312012,6.087463855743408
38,9.02712854440324e-05,0.19235800206661224,0.0048540858551859856,0.0048540858551859856,0.00011733689461834729,0.09957156330347061,0.0025479577016085386,0.0025479577016085386,93.70837083708369,56.237623762376245,96.36363636363636,56.36363636363636,16.95001792907715,6.051689147949219
39,7.988265861058608e-05,0.16388021409511566,0.004136946983635426,0.004136946983635426,0.00010385904897702858,0.09470292180776596,0.002419502707198262,0.002419502707198262,100.0,51.78217821782178,100.0,51.818181818181806,6.997415542602539,5.684750080108643
40,9.15566852199845e-05,0.18550363183021545,0.004683369770646095,0.004683369770646095,9.787375165615231e-05,0.0969357043504715,0.0024723298847675323,0.0024723298847675323,91.98019801980199,61.52758132956153,95.45454545454545,62.72727272727272,14.740859985351562,6.746793270111084
41,8.843356044963002e-05,0.16163943707942963,0.00408520270138979,0.00408520270138979,9.082476026378572e-05,0.08517220616340637,0.0021747176069766283,0.0021747176069766283,100.0,67.73267326732673,100.0,68.18181818181816,7.157975196838379,6.055124282836914
42,7.485244714189321e-05,0.17588810622692108,0.004434628412127495,0.004434628412127495,0.00010092255979543552,0.08855802565813065,0.0022644121199846268,0.0022644121199846268,97.17371737173718,60.475247524752476,98.18181818181819,61.81818181818181,7.152568340301514,6.143909454345703
43,7.423174247378483e-05,0.147750124335289,0.003730868687853217,0.003730868687853217,8.897991210687906e-05,0.08213748037815094,0.0020979270339012146,0.0020979270339012146,98.68586858685869,75.54455445544555,99.09090909090908,76.36363636363636,6.070316791534424,5.509880542755127
44,7.029420521575958e-05,0.1570233851671219,0.003960731904953718,0.003960731904953718,9.038529242388904e-05,0.09068016707897186,0.002312196884304285,0.002312196884304285,100.0,61.584158415841586,100.0,61.818181818181806,6.512956142425537,5.534486770629883
45,6.723952537868172e-05,0.14696882665157318,0.0037078403402119875,0.0037078403402119875,8.82301974343136e-05,0.08794792741537094,0.002242813352495432,0.002242813352495432,98.60486048604861,67.22772277227723,99.09090909090908,68.18181818181817,6.098299026489258,5.176384449005127
46,7.55230721551925e-05,0.16402564942836761,0.0041384026408195496,0.0041384026408195496,9.160856279777363e-05,0.08723973482847214,0.002226797631010413,0.002226797631010413,100.0,77.6980198019802,100.0,78.18181818181817,7.257548809051514,6.195897579193115
47,6.577357999049127e-05,0.15202248096466064,0.0038334489800035954,0.0038334489800035954,7.848829409340397e-05,0.08589033782482147,0.0021865027956664562,0.0021865027956664562,100.0,75.84158415841584,100.0,76.36363636363635,6.627655982971191,5.899864673614502
48,6.979359750403091e-05,0.14628295600414276,0.003691971069201827,0.003691971069201827,8.900288958102465e-05,0.08948078006505966,0.0022815209813416004,0.0022815209813416004,100.0,68.71287128712872,100.0,69.09090909090908,6.208545207977295,5.498208999633789
49,7.050135900499299e-05,0.14384154975414276,0.003631289815530181,0.003631289815530181,8.581931615481153e-05,0.07628966122865677,0.0019501510541886091,0.0019501510541886091,100.0,72.27722772277228,100.0,72.72727272727272,6.075571537017822,5.397024154663086
50,6.277617649175227e-05,0.1550673395395279,0.003908071666955948,0.003908071666955948,7.906551036285236e-05,0.0772508904337883,0.0019708049949258566,0.0019708049949258566,100.0,72.27722772277228,100.0,72.72727272727272,6.230382442474365,5.843331336975098
